0,1
Rocket Pool ETH Price,"$2,024.54"
24h Low / 24h High,"$2,008.94 / $2,031.86"
7d Low / 7d High,"$1,982.27 / $2,091.44"
Trading Volume,"$8,202,867"
Market Cap Rank,#44
Market Cap,"$951,125,060"
Market Cap Dominance,0.077%
Volume / Market Cap,0.0086
All-Time High,"$4,814.31 -57.90% Dec 01, 2021 (over 1 year)"
All-Time Low,"$887.26 128.40% Jun 18, 2022 (about 1 year)"
