0,1
PAX Gold Price,"$1,922.26"
24h Low / 24h High,"$1,910.05 / $1,924.77"
7d Low / 7d High,"$1,887.74 / $1,924.35"
Trading Volume,"$6,646,813"
Market Cap Rank,#85
Market Cap,"$485,837,098"
Market Cap Dominance,0.039%
Volume / Market Cap,0.0137
All-Time High,"$2,241.37 -14.20% May 17, 2021 (about 2 years)"
All-Time Low,"$1,399.64 37.30% Nov 18, 2019 (over 3 years)"
