0,1
Axie Infinity Price,$5.96
24h Low / 24h High,$5.78 / $5.99
7d Low / 7d High,$5.70 / $6.24
Trading Volume,"$27,457,823"
Market Cap Rank,#64
Market Cap,"$688,690,432"
Market Cap Dominance,0.056%
Volume / Market Cap,0.0401
All-Time High,"$164.90 -96.40% Nov 06, 2021 (over 1 year)"
All-Time Low,"$0.123718 4,713.60% Nov 06, 2020 (over 2 years)"
