0,1
Kaspa Price,$0.024498185437
24h Low / 24h High,$0.024083581411 / $0.024835469188
7d Low / 7d High,$0.020371905812 / $0.025856818190
Trading Volume,"$8,895,993"
Market Cap Rank,#87
Market Cap,"$479,919,197"
Market Cap Dominance,0.039%
Volume / Market Cap,0.0185
All-Time High,"$0.042794573812 -42.70% Apr 02, 2023 (3 months)"
All-Time Low,"$0.000171049615 14,232.00% May 26, 2022 (about 1 year)"
