0,1
Maker Price,$913.69
24h Low / 24h High,$910.22 / $937.89
7d Low / 7d High,"$907.98 / $1,068.73"
Trading Volume,"$41,651,219"
Market Cap Rank,#48
Market Cap,"$825,525,433"
Market Cap Dominance,0.067%
Volume / Market Cap,0.0595
All-Time High,"$6,292.31 -85.40% May 03, 2021 (about 2 years)"
All-Time Low,"$168.36 444.00% Mar 16, 2020 (over 3 years)"
