0,1
KuCoin Price,$6.16
24h Low / 24h High,$6.16 / $6.27
7d Low / 7d High,$6.16 / $6.55
Trading Volume,"$1,178,178"
Market Cap Rank,#76
Market Cap,"$597,308,134"
Market Cap Dominance,0.048%
Volume / Market Cap,0.002
All-Time High,"$28.83 -78.60% Dec 01, 2021 (over 1 year)"
All-Time Low,"$0.342863 1,699.80% Feb 07, 2019 (over 4 years)"
