0,1
Bitcoin Cash Price,$274.58
24h Low / 24h High,$271.39 / $276.73
7d Low / 7d High,$253.94 / $297.63
Trading Volume,"$269,083,711"
Market Cap Rank,#15
Market Cap,"$5,338,688,866"
Market Cap Dominance,0.433%
Volume / Market Cap,0.0523
All-Time High,"$3,785.82 -92.70% Dec 20, 2017 (over 5 years)"
All-Time Low,"$76.93 256.80% Dec 16, 2018 (over 4 years)"
