0,1
Bitcoin Price,"$30,593.89"
24h Low / 24h High,"$30,380.25 / $30,718.32"
7d Low / 7d High,"$29,976.13 / $31,144.53"
Trading Volume,"$8,262,898,097"
Market Cap Rank,#1
Market Cap,"$594,748,172,247"
Market Cap Dominance,48.232%
Volume / Market Cap,0.0181
All-Time High,"$69,044.77 -55.60% Nov 10, 2021 (over 1 year)"
All-Time Low,"$67.81 45,059.20% Jul 06, 2013 (about 10 years)"
