0,1
Frax Share Price,$6.32
24h Low / 24h High,$6.17 / $6.38
7d Low / 7d High,$6.18 / $6.85
Trading Volume,"$10,828,253"
Market Cap Rank,#90
Market Cap,"$460,155,678"
Market Cap Dominance,0.037%
Volume / Market Cap,0.0235
All-Time High,"$42.80 -85.30% Jan 12, 2022 (over 1 year)"
All-Time Low,"$1.50 319.90% Jun 25, 2021 (about 2 years)"
