0,1
Stellar Price,$0.096917495848
24h Low / 24h High,$0.096783227488 / $0.100725
7d Low / 7d High,$0.095195973781 / $0.104231
Trading Volume,"$43,672,917"
Market Cap Rank,#28
Market Cap,"$2,622,565,268"
Market Cap Dominance,0.213%
Volume / Market Cap,0.0167
All-Time High,"$0.875563 -88.90% Jan 03, 2018 (over 5 years)"
All-Time Low,"$0.000476123392 20,260.40% Mar 05, 2015 (over 8 years)"
