0,1
Bitget Token Price,$0.471128
24h Low / 24h High,$0.460834 / $0.471715
7d Low / 7d High,$0.461439 / $0.492238
Trading Volume,"$12,679,301"
Market Cap Rank,#67
Market Cap,"$659,603,363"
Market Cap Dominance,0.053%
Volume / Market Cap,0.0192
All-Time High,"$0.515471 -8.60% Feb 16, 2023 (5 months)"
All-Time Low,"$0.014279503739 3,199.30% Jun 25, 2020 (about 3 years)"
