0,1
Lido Staked Ether Price,"$1,879.46"
24h Low / 24h High,"$1,864.70 / $1,887.22"
7d Low / 7d High,"$1,840.13 / $1,943.35"
Trading Volume,"$20,520,978"
Market Cap Rank,#7
Market Cap,"$14,340,291,252"
Market Cap Dominance,1.163%
Volume / Market Cap,0.0014
All-Time High,"$4,829.57 -61.00% Nov 10, 2021 (over 1 year)"
All-Time Low,"$482.90 289.80% Dec 22, 2020 (over 2 years)"
