0,1
Sui Price,$0.660605
24h Low / 24h High,$0.644559 / $0.667829
7d Low / 7d High,$0.631754 / $0.688720
Trading Volume,"$31,531,673"
Market Cap Rank,#95
Market Cap,"$432,536,694"
Market Cap Dominance,0.035%
Volume / Market Cap,0.073
All-Time High,"$2.16 -69.40% May 03, 2023 (2 months)"
All-Time Low,"$0.557963 18.50% Jun 10, 2023 (about 1 month)"
