0,1
Frax Ether Price,"$1,878.77"
24h Low / 24h High,"$1,863.57 / $1,886.52"
7d Low / 7d High,"$1,839.18 / $1,941.98"
Trading Volume,"$2,078,118"
Market Cap Rank,#93
Market Cap,"$445,763,324"
Market Cap Dominance,0.036%
Volume / Market Cap,0.0047
All-Time High,"$2,134.61 -11.90% Apr 16, 2023 (3 months)"
All-Time Low,"$1,137.25 65.40% Nov 23, 2022 (8 months)"
