0,1
Cosmos Hub Price,$9.21
24h Low / 24h High,$9.16 / $9.36
7d Low / 7d High,$9.11 / $9.85
Trading Volume,"$53,294,243"
Market Cap Rank,#26
Market Cap,"$2,696,949,385"
Market Cap Dominance,0.219%
Volume / Market Cap,0.0196
All-Time High,"$44.45 -79.30% Jan 17, 2022 (over 1 year)"
All-Time Low,"$1.16 694.80% Mar 13, 2020 (over 3 years)"
