0,1
NEO Price,$9.11
24h Low / 24h High,$8.86 / $9.18
7d Low / 7d High,$8.68 / $9.46
Trading Volume,"$30,163,309"
Market Cap Rank,#70
Market Cap,"$643,115,227"
Market Cap Dominance,0.052%
Volume / Market Cap,0.0468
All-Time High,"$198.38 -95.40% Jan 15, 2018 (over 5 years)"
All-Time Low,"$0.078349400000 11,538.90% Oct 21, 2016 (over 6 years)"
