Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,61,Rocket Pool RPL,$36.47,0.5%,1.8%,-6.4%,"$4,825,272","$713,464,648","$713,464,648",1.00,
,62,ApeCoin APE,$1.92,-0.6%,-0.1%,-10.8%,"$47,115,355","$707,547,653","$1,919,586,681",0.37,
,63,Curve DAO CRV,$0.795900,-0.7%,-1.9%,-0.6%,"$23,006,835","$692,101,187","$2,632,626,601",0.26,
,64,Axie Infinity AXS,$5.95,-0.4%,2.4%,-4.1%,"$27,876,971","$689,630,243","$1,609,873,581",0.43,
,65,Pax Dollar USDP,$1.00,-0.1%,0.1%,0.0%,"$1,453,520","$662,139,357","$662,139,357",1.00,
,66,BitDAO BIT,$0.454904,0.2%,1.8%,-9.1%,"$10,709,263","$661,972,857","$4,375,594,524",0.15,
,67,Bitget Token BGB,$0.471551,0.1%,1.6%,-4.1%,"$12,677,384","$660,401,244","$943,429,675",0.70,
,68,Synthetix Network SNX,$2.06,0.1%,0.8%,-6.0%,"$17,994,621","$658,446,952","$659,935,665",1.00,
,69,Kava KAVA,$1.04,-0.6%,3.5%,8.8%,"$24,091,686","$652,759,491","$652,775,245",1.00,
,70,NEO NEO,$9.12,-0.4%,1.9%,-2.3%,"$30,149,281","$643,661,609","$912,606,847",0.71,
,71,Injective INJ,$7.98,-0.2%,-2.1%,-7.1%,"$29,264,685","$639,254,389","$799,012,501",0.80,
,72,Pepe PEPE,$0.000001514846,-0.4%,0.6%,-12.9%,"$67,013,651","$637,762,989","$637,762,989",1.00,
,73,eCash XEC,$0.000032657930,0.4%,-3.7%,1.2%,"$33,990,939","$635,686,293","$686,686,953",0.93,
,74,Flow FLOW,$0.593386,-0.6%,-1.8%,-7.1%,"$8,421,365","$615,260,892","$856,548,355",0.72,
,75,GALA GALA,$0.024727370005,-0.9%,0.1%,-2.3%,"$218,413,277","$604,442,373","$1,237,119,279",0.49,
,76,KuCoin KCS,$6.17,-0.7%,-1.1%,-6.5%,"$1,174,295","$598,736,485","$892,555,581",0.67,
,77,Gate GT,$4.27,-0.7%,-0.3%,-2.8%,"$436,715","$594,396,027","$1,282,694,666",0.46,
,78,Gemini Dollar GUSD,$1.00,-0.1%,-0.0%,0.3%,"$1,371,626","$565,003,241","$565,003,241",1.00,
,79,Radix XRD,$0.054803041475,-1.6%,-2.1%,-11.3%,"$1,938,219","$559,671,158","$1,315,543,859",0.43,
,80,Chiliz CHZ,$0.077772065293,-0.5%,1.4%,-2.2%,"$19,900,614","$543,159,900","$692,134,778",0.78,
,81,Klaytn KLAY,$0.165757,-0.1%,1.0%,-5.9%,"$4,624,611","$521,781,653",-,-,
,82,IOTA MIOTA,$0.181380,-0.1%,1.2%,-4.2%,"$4,807,221","$504,470,173","$504,470,173",1.00,
,83,GMX GMX,$55.60,-0.3%,-0.2%,-3.4%,"$4,981,606","$493,049,485","$737,079,383",0.67,
,84,cETH CETH,$37.83,0.1%,0.2%,-2.9%,$917.97,"$488,134,165","$488,134,165",1.00,
,85,PAX Gold PAXG,"$1,922.11",-0.1%,0.6%,1.3%,"$6,650,773","$486,153,484","$486,153,484",1.00,
,86,Terra Luna Classic LUNC,$0.000083074496,-0.3%,-0.3%,-4.2%,"$19,675,687","$483,914,194","$568,984,803",0.85,
,87,Kaspa KAS,$0.024504560444,-0.1%,-0.9%,3.3%,"$8,903,998","$480,251,219","$703,686,353",0.68,
