0,1
Monero Price,$163.97
24h Low / 24h High,$163.02 / $165.63
7d Low / 7d High,$161.95 / $169.56
Trading Volume,"$60,380,255"
Market Cap Rank,#24
Market Cap,"$2,974,935,222"
Market Cap Dominance,0.241%
Volume / Market Cap,0.0198
All-Time High,"$542.33 -69.80% Jan 09, 2018 (over 5 years)"
All-Time Low,"$0.216177 75,736.40% Jan 14, 2015 (over 8 years)"
