Unnamed: 0,#,Coin,Price,1h,24h,7d,24h Volume,Mkt Cap,FDV,Mkt Cap/FDV,Last 7 Days
,1,Bitcoin BTC,"$30,593.50",-0.1%,0.3%,-0.8%,"$7,459,511,216","$594,748,172,247","$642,900,071,163",0.93,
,2,Ethereum ETH,"$1,880.42",-0.2%,0.0%,-3.1%,"$6,868,321,346","$226,273,204,227","$226,273,204,227",1.00,
,3,Tether USDT,$0.999983,-0.0%,-0.0%,-0.0%,"$16,989,100,848","$83,433,115,955","$83,433,115,955",1.00,
,4,BNB BNB,$249.55,-0.3%,1.1%,2.6%,"$659,309,631","$38,927,155,052","$49,952,976,931",0.78,
,5,USD Coin USDC,$0.999414,-0.0%,-0.1%,-0.1%,"$1,865,772,286","$27,367,728,014","$27,367,728,014",1.00,
,6,XRP XRP,$0.475246,-0.1%,-0.2%,-2.9%,"$543,296,789","$24,975,802,110","$47,533,035,930",0.53,
,7,Lido Staked Ether STETH,"$1,879.71",-0.2%,0.0%,-3.1%,"$20,531,706","$14,354,617,793","$14,358,577,716",1.00,
,8,Cardano ADA,$0.293156,-0.0%,1.1%,0.0%,"$168,126,629","$10,283,637,643","$13,204,834,323",0.78,
,9,Dogecoin DOGE,$0.065252152312,-0.2%,0.0%,-5.4%,"$155,266,398","$9,150,622,017","$9,150,626,588",1.00,
,10,Solana SOL,$21.93,-0.4%,1.1%,14.0%,"$404,605,656","$8,838,147,964","$12,118,393,034",0.73,
,11,Litecoin LTC,$96.79,-0.1%,-0.3%,-8.3%,"$886,444,742","$7,111,586,190","$8,145,022,724",0.87,
,12,TRON TRX,$0.077320923793,-0.1%,-0.1%,-0.3%,"$174,050,135","$6,949,350,000","$6,949,349,277",1.00,
,13,Polygon MATIC,$0.738452,-0.8%,-0.9%,5.1%,"$277,087,371","$6,887,154,313","$7,390,071,540",0.93,
,14,Polkadot DOT,$5.25,-0.9%,2.5%,-2.2%,"$89,974,967","$6,581,615,824","$7,007,045,815",0.94,
,15,Bitcoin Cash BCH,$274.54,-0.3%,0.2%,-1.1%,"$279,795,863","$5,337,719,307","$5,764,181,256",0.93,
,16,Wrapped Bitcoin WBTC,"$30,555.35",-0.1%,0.2%,-1.0%,"$91,377,260","$4,816,143,028","$4,816,143,028",1.00,
,17,Avalanche AVAX,$13.16,-0.5%,-3.5%,0.6%,"$145,446,555","$4,554,740,040","$9,483,045,620",0.48,
,18,Shiba Inu SHIB,$0.000007527934,-0.4%,-0.7%,-2.6%,"$65,134,805","$4,444,031,413","$7,540,631,620",0.59,
,19,Dai DAI,$0.999146,-0.0%,-0.2%,-0.1%,"$80,606,327","$4,291,861,599","$4,291,718,005",1.00,
,20,Uniswap UNI,$5.31,-0.8%,1.1%,-3.9%,"$73,339,091","$4,004,922,298","$5,313,212,263",0.75,
,21,Binance USD BUSD,$0.999186,-0.0%,-0.1%,0.0%,"$881,000,505","$3,997,348,204","$3,997,348,204",1.00,
,22,LEO Token LEO,$4.04,-0.1%,1.0%,2.4%,"$600,575","$3,756,493,902","$3,980,201,391",0.94,
,23,Chainlink LINK,$6.23,-0.1%,0.9%,-5.0%,"$87,248,400","$3,224,927,892","$6,236,565,586",0.52,
,24,Monero XMR,$163.92,-0.1%,-0.4%,-1.5%,"$58,885,668","$2,975,446,121",-,-,
,25,TrueUSD TUSD,$0.999851,-0.0%,0.0%,0.0%,"$1,802,701,038","$2,892,161,594","$2,892,161,594",1.00,
,26,Cosmos Hub ATOM,$9.21,-0.2%,-0.9%,-5.9%,"$54,005,858","$2,696,949,385",-,-,
,27,Ethereum Classic ETC,$18.86,-0.1%,-0.3%,-3.8%,"$81,022,374","$2,676,118,644","$3,973,173,494",0.67,
,28,Stellar XLM,$0.096863109778,-0.3%,-3.1%,-6.5%,"$43,723,998","$2,621,216,274","$4,844,702,679",0.54,
,29,OKB OKB,$43.33,-0.0%,1.1%,-2.1%,"$3,293,138","$2,603,142,632","$13,015,713,162",0.20,
,30,Toncoin TON,$1.34,-0.1%,-2.1%,-3.5%,"$5,578,981","$1,979,180,285","$6,792,542,780",0.29,
,31,Filecoin FIL,$4.29,-0.2%,-0.9%,-6.3%,"$63,300,262","$1,868,149,196","$8,426,384,654",0.22,
,32,Internet Computer ICP,$4.14,-0.7%,1.6%,-5.7%,"$13,757,341","$1,813,695,706","$1,943,920,396",0.93,
,33,Lido DAO LDO,$1.91,-0.4%,-2.4%,-11.6%,"$17,299,639","$1,683,837,498","$1,914,327,642",0.88,
,34,Hedera HBAR,$0.048566813123,-0.2%,1.6%,-0.6%,"$15,407,359","$1,571,172,570","$2,433,092,324",0.65,
,35,Cronos CRO,$0.057377033295,-0.5%,2.3%,-0.8%,"$4,117,625","$1,500,780,572","$1,721,372,042",0.87,
,36,Quant QNT,$102.52,0.1%,-0.2%,-4.9%,"$15,091,752","$1,494,502,460","$1,501,522,429",1.00,
,37,Aptos APT,$7.05,0.0%,-0.5%,-8.2%,"$48,534,580","$1,485,042,722","$7,367,559,468",0.20,
,38,Arbitrum ARB,$1.13,-0.3%,0.0%,-2.3%,"$91,801,322","$1,437,312,025","$11,273,035,487",0.13,
,39,VeChain VET,$0.018997235623,0.1%,1.9%,-5.0%,"$33,258,813","$1,381,054,180","$1,646,917,995",0.84,
,40,NEAR Protocol NEAR,$1.33,-0.4%,-0.5%,-5.6%,"$31,659,075","$1,240,616,269","$1,332,146,189",0.93,
,41,Aave AAVE,$74.84,-0.2%,6.7%,-5.9%,"$106,608,535","$1,081,284,349","$1,195,422,884",0.90,
,42,The Graph GRT,$0.114367,-0.3%,-0.6%,-8.7%,"$18,842,880","$1,037,202,293","$1,143,015,873",0.91,
,43,Frax FRAX,$0.997472,-0.1%,-0.3%,-0.2%,"$5,392,885","$1,002,300,618","$1,002,300,618",1.00,
,44,Rocket Pool ETH RETH,"$2,024.75",-0.2%,0.1%,-3.1%,"$8,203,730","$951,125,060","$951,128,434",1.00,
,45,Stacks STX,$0.661697,0.3%,2.7%,-5.2%,"$22,319,727","$919,938,490","$1,202,351,602",0.77,
,46,MultiversX EGLD,$35.60,-0.1%,0.6%,-1.4%,"$8,081,095","$915,188,826","$1,119,334,142",0.82,
,47,Algorand ALGO,$0.109270,-0.2%,-0.3%,-12.1%,"$43,106,033","$833,178,617","$1,094,076,108",0.76,
,48,Maker MKR,$914.44,-0.5%,-1.0%,-6.6%,"$42,213,399","$826,887,438","$922,543,980",0.90,
,49,EOS EOS,$0.732133,-0.2%,-0.4%,-3.1%,"$76,417,549","$815,679,986",-,-,
,50,The Sandbox SAND,$0.423869,-0.1%,1.6%,-4.3%,"$37,982,901","$792,597,887","$1,271,729,721",0.62,
,51,Optimism OP,$1.23,-0.1%,0.7%,-5.4%,"$45,728,423","$791,228,664","$5,271,996,194",0.15,
