0,1
GMX Price,$55.64
24h Low / 24h High,$55.05 / $55.87
7d Low / 7d High,$53.68 / $57.90
Trading Volume,"$5,006,101"
Market Cap Rank,#83
Market Cap,"$492,817,798"
Market Cap Dominance,0.04%
Volume / Market Cap,0.0101
All-Time High,"$91.07 -38.90% Apr 18, 2023 (3 months)"
All-Time Low,"$11.53 382.10% Jun 15, 2022 (about 1 year)"
