0,1
Tether Gold Price,"$1,934.76"
24h Low / 24h High,"$1,925.18 / $1,937.03"
7d Low / 7d High,"$1,905.16 / $1,948.11"
Trading Volume,"$6,126,584"
Market Cap Rank,#88
Market Cap,"$477,062,106"
Market Cap Dominance,0.039%
Volume / Market Cap,0.0129
All-Time High,"$2,169.74 -10.80% Mar 15, 2023 (4 months)"
All-Time Low,"$1,447.84 33.70% Mar 19, 2020 (over 3 years)"
