0,1
Flow Price,$0.592671
24h Low / 24h High,$0.590509 / $0.606717
7d Low / 7d High,$0.589990 / $0.661153
Trading Volume,"$8,417,320"
Market Cap Rank,#74
Market Cap,"$618,361,237"
Market Cap Dominance,0.05%
Volume / Market Cap,0.0342
All-Time High,"$42.40 -98.60% Apr 05, 2021 (over 2 years)"
All-Time Low,"$0.441327 34.30% Jun 15, 2023 (27 days)"
