0,1
Optimism Price,$1.23
24h Low / 24h High,$1.20 / $1.24
7d Low / 7d High,$1.17 / $1.30
Trading Volume,"$45,096,207"
Market Cap Rank,#51
Market Cap,"$790,664,200"
Market Cap Dominance,0.064%
Volume / Market Cap,0.0575
All-Time High,"$3.22 -62.00% Feb 24, 2023 (5 months)"
All-Time Low,"$0.402159 204.90% Jun 18, 2022 (about 1 year)"
