0,1
eCash Price,$0.000032612934
24h Low / 24h High,$0.000032317263 / $0.000034372498
7d Low / 7d High,$0.000030296039 / $0.000040040605
Trading Volume,"$34,189,153"
Market Cap Rank,#73
Market Cap,"$628,260,264"
Market Cap Dominance,0.051%
Volume / Market Cap,0.0114
All-Time High,"$0.000380013258 -91.40% Sep 04, 2021 (almost 2 years)"
All-Time Low,"$0.000018469911 76.60% Jul 20, 2021 (almost 2 years)"
